mes_referencia,uf,linha_veiculo,total_contratos,contratos_ativos,contratos_cancelados,valor_total_fipe_protegido
2025-03,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",4,3,1,298734
2025-03,PR,PESADOS,8,3,4,1275837
2025-03,PR,LEVES,5,3,2,265270
2025-03,RS,PESADOS,1,0,1,128536
2025-03,SC,LEVES,3,2,0,133613
2025-03,SC,PESADOS,2,2,0,530374
2025-02,GO,LEVES,1,1,0,28922
2025-02,PR,PESADOS,9,9,0,1530904
2025-02,PR,LEVES,5,3,2,224845
2025-02,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,100888
2025-02,RO,PESADOS,1,0,1,165000
2025-02,RS,LEVES,1,1,0,44410
2025-02,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,1,0,114294
2025-02,SC,PESADOS,2,1,1,442006
2025-02,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,39434
2025-02,SP,LEVES,1,0,1,24526
2025-01,PR,PESADOS,8,0,8,1635352
2025-01,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",3,0,3,142930
2025-01,PR,LEVES,3,0,3,71199
2025-01,RS,PESADOS,1,0,1,456916
2025-01,SC,LEVES,1,1,0,25920
2025-01,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,0,55134
2024-12,MT,LEVES,1,0,1,72376
2024-12,PR,PESADOS,7,1,6,1623893
2024-12,PR,LEVES,3,0,3,173871
2024-12,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",3,0,3,296062
2024-12,RS,LEVES,2,0,2,77193
2024-12,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,106512
2024-12,SC,LEVES,1,0,1,28016
2024-11,PR,PESADOS,4,1,3,838393
2024-11,PR,LEVES,3,0,3,63122
2024-11,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",3,0,3,225831
2024-11,RS,LEVES,3,1,2,99109
2024-11,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,33369
2024-11,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,37338
2024-10,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",7,0,7,506875
2024-10,PR,PESADOS,20,0,18,6818905
2024-10,PR,LEVES,4,0,4,281024
2024-10,RS,PESADOS,5,0,5,2124626
2024-10,RS,LEVES,2,0,2,62736
2024-10,SC,LEVES,1,0,1,16823
2024-10,SP,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,40505
2024-10,SP,PESADOS,2,0,2,471851
2024-09,PR,PESADOS,23,0,11,6940083
2024-09,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",5,0,5,329481
2024-09,PR,LEVES,3,0,3,96674
2024-09,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,39971
2024-09,RS,PESADOS,4,0,1,1448223
2024-09,SC,LEVES,1,0,1,58992
2024-09,SC,PESADOS,5,0,2,1832683
2024-09,SP,PESADOS,1,0,1,122500
2024-08,MS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,110229
2024-08,PR,PESADOS,3,0,3,641879
2024-08,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",10,0,9,521931
2024-08,PR,LEVES,1,0,1,20279
2024-08,RO,PESADOS,1,0,1,424522
2024-08,RS,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",2,0,2,110904
2024-08,RS,PESADOS,2,0,2,737903
2024-08,SC,PESADOS,1,0,1,243256
2024-08,SC,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",4,0,4,251652
2024-08,SP,PESADOS,1,0,1,198113
2024-07,GO,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",1,0,1,23585
2024-07,MG,PESADOS,1,0,1,120000
2024-07,PR,PESADOS,14,1,13,2291028
2024-07,PR,LEVES,3,0,3,70659
2024-07,PR,"VANS, PICK-UPS, FURGÕES, SUV'S, UTILITÁRIOS CAMINHONETES E CAMINHÕES ATÉ 4T",13,0,13,612908
